SN,Location ,PrimaryIP,PowerStatus,Environment,BkpPriority,VirtualPhysical,HostClientOperatingsystem,Application,CPU,RAM,Storage,LANports,LAN1x45,LAN2x46,LAN3x35
133,Rack-2-09.5,192.168.45.140,OFF,Prod,P3,VM,Cent OS ,eSanjeevani_DataStorage_45.140,4,4GB,216GB,1,UP,,
134,Rack-2-09.6,192.168.45.190,OFF,Prod,P3,VM,Cent OS ,Jira Service Manager,8,16GB,632GB,1,UP,,
135,Rack-2-09.7,OFF,OFF,Prod,P3,VM,Ubuntu Linux,MobileAPI Ahex 99 Clone 13March2022,1,1GB,301GB,1,Down,,
136,Rack-2-09.8,OFF,OFF,Prod,P3,VM,Ubuntu Linux,CMIAPI Clone 13March 2022,1,1GB,301GB,1,Down,,
137,Rack-2-09.9,OFF,OFF,Non-Prod,NA,VM,Ubuntu Linux,ERP Backup 24062022,4,1GB,1.2TB,1,Down,,
138,Rack-2-09.10,OFF,OFF,Prod,P3,VM,Ubuntu Linux,,,,,,,,
139,Rack-2-09.11,192.168.45.120,OFF,Prod,P3,VM,Ubuntu 16.4.6,R2/06/HP/ESXI/Linux/Ubuntu_Testing_Server_DB_Ramesh,4,4GB,104GB,1,UP,,
140,Rack-2-09.12,192.168.46.40/192.168.122.1,OFF,NA,NA,VM,Cent OS ,R2/10/TYRON/ESXI/Linux/DB storage46.40,4,8GB,508GB,1,UP,,
141,Rack-2-09.13,192.16.45.121,OFF,NA,NA,VM,Ubuntu Linux,R2/10/TYRON/ESXI/Linux/Jira Prod_45.121,8,256GB,288GB,1,UP,,
142,Rack-2-09.14,192.168.45.118,OFF,NA,NA,VM,Cent OS ,R2/10/TYRON/ESXI/Linux/Nextcloud_45.118,4,8GB,2TB,1,UP,,
143,Rack-2-09.15,192.168.45.209,OFF,NA,NA,VM,Windows 7,R2/10/TYRON/ESXI/Win/ERP Dashboard Reporting Server,1,1GB,31GB,1,UP,,
144,Rack-2-09.16,192.168.45.31,OFF,NA,NA,VM,Windows 7 Professional,R2/10/TYRON/ESXI/Win/HMRI Dashboard App Server_45.204,4,4GB,313GB,1,Down,,
145,Rack-2-09.17,OFF,OFF,NA,NA,VM,Ubuntu 18,R2/10/TYRON/ESXI/Win/Mobile Dev Server_45.183_bkp copy,2,8GB,308GB,1,Down,,
146,Rack-2-09.18,192.168.45.157,OFF,NA,NA,VM,Winows server 2012 (64-bit),R2/10/TYRONE/ESXI/WIN/Biometric_45.157,4,2GB,1TB,1,Down,,
147,Rack-2-09.19,192.168.45.115,OFF,NA,NA,VM,Windows 2016 STD,R2/10/TYRONE/ESXI/WIN/Tableau Reports 45.115,16,16GB,512GB,1,UP,,
148,Rack-2-09.20,192.168.45.73,OFF,NA,NA,VM,Windows 2016 STD,Sanofi_MUFG_Server,2,16GB,266GB,1,UP,,
149,Rack-2-09.21,192.16.45.178,OFF,NA,NA,VM,Windows 2016 STD,STFC AMRIT,4,24GB,254GB,1,UP,,
150,Rack-2-10,192.168.46.88,OFF,NA,NA,Physical,Windows 2016 STD,,Intel�  Xeon�C25430 CPU @2.66GHz,8GB,300GB*6,4,UP,UP,
151,Rack-2-11,192.168.45.189,OFF,NA,NA,Physical,Windows 2016 STD,,Intel�  Xeon�CE5430 CPU @2.66GHz,8GB,300GB*6,4,UP,UP,
152,Rack-3-01,192.168.35.218,ON,Prod,P1,Physical,Windows 2016 STD,NACO Application Live,Intel�  Xeon� silver 4114 CPU @2.20GHz,128GB,2.4TB*6,4,UP,Down,
153,Rack-3-02,192.168.46.99,OFF,NA,NA,Physical,VM-ESXI 6.0.3-5572656-NEC-6.0.3,,Intel�  Xeon� silver 4114 CPU @2.20GHz,128GB,2.4TB*6,4,UP,UP,
154,Rack-3-03,Testing,OFF,NA,NA,Physical,Centos 8,,Intel�  Xeon� E5-2609 CPU@2.4GHz,32GB,6*1TB,4,UP,Down,
155,Rack-3-04,DB,OFF,NA,NA,Physical,Windows 2016 STD,,Intel�  Xeon� E5-2620 v4 CPU@2.10GHz,64GB,600 GB*2 4TB*1,4,UP,Down,
156,Rack-3-05,OFF,OFF,NA,NA,Physical,OFF,,Intel�  Xeon� silver 4114 CPU @2.20GHz,64GB,600 GB*2 4TB*1,4,UP,Down,
157,Rack-3-06,NO IP,OFF,NA,NA,Physical,Windows 2016 STD,,Intel�  Xeon� E5-2620 v4 CPU@2.10GHz,64GB,600 GB*2 4TB*1,4,Down,Down,
158,Rack-3-07,NO IP,OFF,NA,NA,Physical,Windows 2016 STD,,Intel�  Xeon� E5-2620 v4 CPU@2.10GHz,64GB,600 GB*2 4TB*1,4,Down,Down,
159,Rack-3-08,NO IP,OFF,NA,NA,Physical,Windows 2016 STD,,Intel�  Xeon� E5-2620 v4 CPU@2.10GHz,64GB,600 GB*2 4TB*1,4,Down,Down,
160,Rack-3-09,NO IP,OFF,NA,NA,Physical,Windows 2016 STD,,Intel�  Xeon� E5-2620 v4 CPU@2.10GHz,64GB,600 GB*2 4TB*1,4,Down,Down,
161,Rack-3-10,192.168.35.109,ON,Prod,P1,Physical,Windows 2016 STD,Araku ,Intel�  Xeon�CPU E5-2609 0 @2.40GHz,2B,300GB*5,4,UP,Down,
162,Rack-3-11,192.168.46.99,ON,Host-ESXI,NA,Physical,VM-ESXI-6,VMware Esxi,8x2=16 (Intel�  Xeon� Silver 4114 @2.20GHz),64GB,10.90TB,4,UP,Down,
163,Rack-3-11.1,192.168.45.98,OFF,Testing,P3,VM,Cent OS,AMRIT CentOS Testing_Wipro_45.98,1,8MB,500GB,1,Down,,
164,Rack-3-11.2,192.168.45.6,OFF,Testing,P3,VM,Windows 2016 STD,AMRIT Wipro Dev Server_45.6,1,4MB,230GB,1,Down,,
165,Rack-3-11.3,192.168.45.95,OFF,Testing,P3,VM,Cent OS,AMRIT_CentOS_Wipro_45.95 Bahmni,1,4MB,500GB,1,Down,,
166,Rack-3-11.4,192.168.45.66,OFF,Testing,P3,VM,Windows 2016 STD,AMRIT_CI/CD_Testing Server_45.66,1,4MB,467GB,1,Down,,
167,Rack-3-11.5,192.168.45.72,ON,Testing,P3,VM,Windows 2016 STD,AMRIT_UAT_preprod_45.72,4,12GB,409GB,1,UP,,
168,Rack-3-11.6,192.168.45.19,ON,Prod,P2,VM,Windows 2016 STD,AMRIT-DB-Restored-45-19_Jan-23,6,16GB,516GB,1,UP,,
169,Rack-3-11.7,192.168.45.80,ON,Prod,P2,VM,Ubuntu 20 lts,Docker Container_45.80,4,8GB,635GB,1,UP,,
170,Rack-3-11.8,OFF,OFF,Prod,P3,VM,CentOS 7 Core,R2/06/HP/ESXI/Linux/CentOS_Testing_Server_DB_Ramesh,1,4MB,101GB,1,Down,,
171,Rack-3-11.9,192.168.46.143,ON,Non-Prod,P3,VM,Cent OS,R2/10/TYRON/ESXI/Linux/RsyncServer_46.143,8,4GB,2TB,1,UP,,
172,Rack-3-11.10,192.168.35.109,ON,Prod,P2,VM,Ubuntu Linux,R2/11/TYRONE/ESXI/LINUX/AP ERP Production_35.109,4,15GB,1TB,1,UP,,
173,Rack-3-11.11,192.168.45.154,ON,Prod,P2,VM,Ubuntu Linux,R2/11/TYRONE/ESXI/LINUX/SVN_45.154,1,4GB,44GB,1,UP,,
174,Rack-3-11.12,OFF,OFF,Prod,P3,VM,Windows 2016 STD,R2/11/TYRONE/ESXI/WIN/Ganganagar POC PROJECT_new,1,8MB,301GB,1,Down,,
175,Rack-3-11.13,192.168.45.145,OFF,Prod,P3,VM,Windows 2016 STD,R2/11/TYRONE/ESXI/WIN/Majuli Pro 45.145,1,8MB,501GB,1,Down,,
176,Rack-3-11.14,192.168.45.156,ON,Prod,P2,VM,Windows 2016 STD,R2/11/TYRONE/ESXI/WIN/Majuli UAT_45.156,4,12GB,512GB,1,UP,,
177,Rack-3-11.15,192.168.46.46,ON,Prod,P2,VM,Windows 2016 STD,R2/11/TYRONE/ESXI/WIN/MMU Server 2_46.46,4,8GB,508GB,1,UP,,
178,Rack-3-11.16,192.168.45.183,OFF,Prod,P3,VM,Ubuntu 18,R2/11/TYRONE/ESXI/WIN/Mobile Dev Server_45.183,1,8MB,301GB,1,Down,,
179,Rack-3-11.17,OFF,OFF,Prod,P3,VM,NA,R2/11/TYRONE/ESXI/WIN/PSMRI Share Folders & Tally (Restored),1,4MB,47GB,1,Down,,
180,Rack-3-11.18,OFF,OFF,Prod,P3,VM,NA,R2/11/TYRONE/ESXI/WIN/PSMRI Sharefolders (1)(Restored),1,4MB,165GB,1,Down,,
181,Rack-3-11.19,OFF,OFF,Prod,P3,VM,NA,R2/11/TYRONE/ESXI/WIN/Sankalp_121,1,4MB,500GB,1,Down,,
182,Rack-4-01,192.168.45.214-191,ON,Host-Winodws-HyperV,NA,Physical,Windows 2016 DC,Windows Hyper-V,12x2 Intel�  Xeon�CPU Silver 4214 CPU @ 2.20GHz,64GB,12TB,4,UP,Down,
183,Rack-4-01.1,192.168.45.110,ON,Prod,P2,VM,Windows 2016 STD,APL_DB_Replication_45.110,2,8GB,350GB,1,UP,,
184,Rack-4-01.2,192.168.45.216,ON,Prod,P2,VM,Windows 2016 STD,Assam_Replicaiton_45.216,2,8GB,250GB,1,UP,,
185,Rack-4-01.3,192.168.45.113,ON,Prod,P2,VM,Windows 2016 STD,STFC DB replication_45.113,2,8GB,250GB,1,UP,,
186,Rack-4-01.4,192.168.45.219,ON,Prod,P2,VM,Windows 2016 STD,Bayer_project_DB_Replicaiotn_45.219,2,8GB,350GB,1,UP,,
187,Rack-4-01.5,192.168.45.217,ON,Prod,P2,VM,Windows 2016 STD,Bihar Replication_45.217,2,8GB,300GB,1,UP,,
188,Rack-4-01.6,192.168.45.218,ON,Prod,P2,VM,Windows 2016 STD,Digwal_DB_Relication_45.218,2,8GB,250GB,1,UP,,
189,Rack-4-01.7,192.168.45.221,ON,Prod,P2,VM,Windows 2016 STD,Sanofi MUFG_DB_Replication_45.221,2,8GB,350GB,1,UP,,
190,Rack-4-02,192.168.45.248,ON,Host-Winodws-HyperV,NA,Physical,Windows 2016 DC,Windows Hyper-V,Intel�  Xeon�CPU Silver 4114 CPU @ 2.20GHz,64GB,"600GB*2, 6*2.4TB HDD",4,UP,Down,
191,Rack-4-02.1,192.168.45.225,ON,Prod,P1,VM,Windows 2016 STD,Tableau 10 License Host,8,44GB,500GB,1,UP,,
192,Rack-4-03,192.168.35.50,ON,Prod,NA,Physical,Windows 2016 STD,,Intel�  Xeon�CPU E3-1220 V2 @ 3.10GHz,8GB,3*600GB,2,UP,Down,
193,Rack-4-04,OFF,OFF,Prod,NA,Physical,OFF,,Intel�  Xeon� E5-2609 CPU@2.4GHz,32GB,6*1TB HDD,4,UP,Down,
194,Rack-5-01.1,192.168.35.141,ON,Host-Winodws-HyperV,NA,Physical,Windows 2016 DC,Windows Hyper-V,32x2=64 (Intel(R) Xeon(R) Silver 4216 CPU @ 2.10Ghz),128GB,11TB,2,UP,Down,
195,Rack-5-02,192.168.35.140,ON,Host-Winodws-HyperV,NA,Physical,Windows 2016 DC,Windows Hyper-V,32x2=64 (Intel(R) Xeon(R) Silver 4216 CPU @ 2.10Ghz),64GB,7.2TB,2,UP,UP,
196,Rack-5-02-1,192.168.35.150,ON,Prod,P1,VM,Ubunut 20Lts,GR-NACO-Prod,6,16GB,350GB,1,UP,,
197,Rack-5-03,192.168.35.151,ON,Prod,NA,Physical,Windows 2016 STD,NACO-DB-APP,10x2=20 (Intel(R) Xeon(R) Silver 4210 CPU @ 2.20Ghz),64GB,7.2TB,1,UP,,
198,Rack-5-04,192.168.35.152,ON,Prod,NA,Physical,Windows 2016 STD,NACO-APP-BKP,10x2=20 (Intel(R) Xeon(R) Silver 4210 CPU @ 2.20Ghz),64GB,7.2TB,1,UP,,
199,Rack-5-05,192.168.35.,OFF,Prod,NA,Physical,Windows 2016 STD,NACO-C-Zentrix Voice,10x2=20 (Intel(R) Xeon(R) Silver 4210 CPU @ 2.20Ghz),32GB,3TB,1,UP,,
200,Rack-5-06,192.168.35.161/45.135,ON,Host-Winodws-HyperV,NA,Physical,Windows 2016 DC,Windows Hyper-V,32x2=64 (Intel(R) Xeon(R) Silver 4216 CPU @ 2.10Ghz),128GB,11TB,1,UP,,
201,Rack-5-02-1,192.168.35.150,ON,Prod,P1,VM,Ubunut 20Lts,Wipro Testing Node1_45.133,8,24GB,500GB,2,UP,UP,
202,Rack-5-02-1,192.168.35.150,ON,Prod,P1,VM,Ubunut 20Lts,Wipro Testing Node2_45.134,8,24GB,500GB,2,UP,UP,
203,On Desk,192.168.35.51,ON,NA,NA,Physical,NA,,,,,,,,
204,On Desk,192.168.35.55,ON,NA,NA,Physical,NA,,,,,,,,
